Configuration	pin_configuration
STM32CubeMX 	4.15.1
Date	06/24/2016
MCU	STM32F303VETx



PERIPHERALS	MODES	FUNCTIONS	PINS
ADC1	Single-ended	ADC1_TempSens_Input	VP_ADC1_TempSens_Input
ADC1	Vrefint Channel	ADC1_Vref_Input	VP_ADC1_Vref_Input
ADC1	Vbat Channel	ADC1_Vbat_Input	VP_ADC1_Vbat_Input
RCC	Crystal/Ceramic Resonator	RCC_OSC_IN	PF0-OSC_IN
RCC	Crystal/Ceramic Resonator	RCC_OSC_OUT	PF1-OSC_OUT
RCC	Crystal/Ceramic Resonator	RCC_OSC32_IN	PC14-OSC32_IN
RCC	Crystal/Ceramic Resonator	RCC_OSC32_OUT	PC15-OSC32_OUT
RTC	Internal Alarm A	RTC_VS_RTC_Alarm_A_Intern	VP_RTC_VS_RTC_Alarm_A_Intern
RTC	Internal WakeUp	RTC_VS_RTC_WakeUp_intern	VP_RTC_VS_RTC_WakeUp_intern
SPI1	Full-Duplex Master	SPI1_MISO	PA6
SPI1	Full-Duplex Master	SPI1_MOSI	PA7
SPI1	Full-Duplex Master	SPI1_SCK	PA5
SPI2	Full-Duplex Master	SPI2_MISO	PB14
SPI2	Full-Duplex Master	SPI2_MOSI	PB15
SPI2	Full-Duplex Master	SPI2_SCK	PB13
SPI3	Full-Duplex Master	SPI3_MISO	PC11
SPI3	Full-Duplex Master	SPI3_MOSI	PC12
SPI3	Full-Duplex Master	SPI3_SCK	PC10
SPI4	Half-Duplex Slave	SPI4_MISO	PE13
SPI4	Half-Duplex Slave	SPI4_SCK	PE12
SPI4	Hardware NSS Input Signal	SPI4_NSS	PE11
SYS	JTAG with Trace Synchro(4 bits)	SYS_JTCK-SWCLK	PA14
SYS	JTAG with Trace Synchro(4 bits)	SYS_JTDI	PA15
SYS	JTAG with Trace Synchro(4 bits)	SYS_JTDO-TRACESWO	PB3
SYS	JTAG with Trace Synchro(4 bits)	SYS_JTMS-SWDIO	PA13
SYS	JTAG with Trace Synchro(4 bits)	SYS_TRACECK	PE2
SYS	JTAG with Trace Synchro(4 bits)	SYS_TRACED0	PE3
SYS	JTAG with Trace Synchro(4 bits)	SYS_TRACED1	PE4
SYS	JTAG with Trace Synchro(4 bits)	SYS_TRACED2	PE5
SYS	JTAG with Trace Synchro(4 bits)	SYS_TRACED3	PE6
SYS	SysTick	SYS_VS_Systick	VP_SYS_VS_Systick
TIM3	Internal Clock	TIM3_VS_ClockSourceINT	VP_TIM3_VS_ClockSourceINT
TIM3	Input Capture direct mode	TIM3_CH4	PB1
USART1	Asynchronous	USART1_RX	PA10
USART1	Asynchronous	USART1_TX	PA9
USART3	Asynchronous	USART3_RX	PE15
USART3	Asynchronous	USART3_TX	PB10
USART3	CTS/RTS	USART3_CTS	PD11
USART3	CTS/RTS	USART3_RTS	PF6
USB	Device (FS)	USB_DM	PA11
USB	Device (FS)	USB_DP	PA12



Pin Nb	PINs	FUNCTIONs	LABELs
1	PE2	SYS_TRACECK	DEBUG_TRACECLK
2	PE3	SYS_TRACED0	DEBUG_TRACE_D0
3	PE4	SYS_TRACED1	DEBUG_TRACE_D1
4	PE5	SYS_TRACED2	DEBUG_TRACE_D2
5	PE6	SYS_TRACED3	DEBUG_TRACE_D3
8	PC14-OSC32_IN	RCC_OSC32_IN	
9	PC15-OSC32_OUT	RCC_OSC32_OUT	
12	PF0-OSC_IN	RCC_OSC_IN	
13	PF1-OSC_OUT	RCC_OSC_OUT	
26	PA3*	USART2_RX	GPS_NMEA_TX
30	PA5	SPI1_SCK	ACCEL_SCK
31	PA6	SPI1_MISO	ACCEL_MISO
32	PA7	SPI1_MOSI	ACCEL_MOSI
33	PC4	GPIO_Output	ACCEL_CS
34	PC5	GPIO_EXTI5	ACCEL_INT1
35	PB0	GPIO_EXTI0	ACCEL_INT2
36	PB1	TIM3_CH4	GPS_SECOND
37	PB2	GPIO_Output	FLASH_POWER_EN
38	PE7	GPIO_Output	FLASH_WP
39	PE8	GPIO_Output	FLASH_HOLD
40	PE9	GPIO_Output	FLASH_CS
41	PE10	GPIO_Output	VIN_MEAS_EN
42	PE11	SPI4_NSS	GPS_HS_SS
43	PE12	SPI4_SCK	GPS_HS_CLK
44	PE13	SPI4_MISO	GPS_HS_SIGN
45	PE14	GPIO_Output	GPS_TRIG_TIMESTAMP
46	PE15	USART3_RX	GPS_PROG_TX
47	PB10	USART3_TX	GPS_PROG_RX
48	PB11	GPIO_Output	GPS_POWER_EN
51	PB12	GPIO_Output	SDCARD_CS
52	PB13	SPI2_SCK	SDCARD_SCK
53	PB14	SPI2_MISO	SDCARD_MISO
54	PB15	SPI2_MOSI	SDCARD_MOSI
55	PD8	GPIO_Output	SDCARD_DETECT_OUT
56	PD9	GPIO_EXTI9	SDCARD_DETECT_IN
57	PD10	GPIO_Output	SDCARD_POWER_EN
58	PD11	USART3_CTS	BTLE_RTS
59	PD12*	ADC3_IN9	VIN_MEAS_A2D
60	PD13*	ADC3_IN10	IMEAS_IN+
61	PD14	GPIO_Output	IMEAS_GAIN0_OUT
62	PD15	GPIO_Output	IMEAS_GAIN1_OUT
63	PC6	GPIO_Input	CHARGER_PGOOD
64	PC7	GPIO_Output	CHARGER_CE
65	PC8	GPIO_Output	CHARGER_ISET2
66	PC9	GPIO_Input	CHARGER_STAT2
67	PA8	GPIO_Input	CHARGER_STAT1
68	PA9	USART1_TX	CONSOLE_TX
69	PA10	USART1_RX	CONSOLE_RX
70	PA11	USB_DM	
71	PA12	USB_DP	
72	PA13	SYS_JTMS-SWDIO	DEBUG_SWDIO_JTMS
73	PF6	USART3_RTS	BTLE_CTS
76	PA14	SYS_JTCK-SWCLK	DEBUG_SWCLK_JTCK
77	PA15	SYS_JTDI	DEBUG_JTDI
78	PC10	SPI3_SCK	BTLE_SCK
79	PC11	SPI3_MISO	BTLE_MISO
80	PC12	SPI3_MOSI	BTLE_MOSI
81	PD0	GPIO_Output	BTLE_CS
82	PD1	GPIO_EXTI1	BTLE_INT
83	PD2	GPIO_Output	BTLE_DFU
84	PD3	GPIO_Output	BTLE_FACTORY_RESET
85	PD4	GPIO_Output	BTLE_POWER_EN
86	PD5	GPIO_Output	SYSTEM_POWER_LATCH
87	PD6	GPIO_Output	SYSTEM_POWER_SWITCH_STATE
88	PD7	GPIO_Input	DEBUG_GNDDETECT
89	PB3	SYS_JTDO-TRACESWO	DEBUG_JTDO_TRACESWO
90	PB4*	SYS_NJTRST	DEBUG_TRST
91	PB5	GPIO_Input	BUTTON_EXTERNAL
92	PB6	GPIO_EXTI6	BUTTON_PCB
93	PB7	GPIO_Output	LED_OUT
95	PB8	GPIO_Input	BTLE_TX
96	PB9	GPIO_Output	BTLE_RXD
97	PE0	GPIO_Output	BTLE_MODE
